ANNO,CODICE ATS RESIDENZA,DESCRIZIONE ATS RESIDENZA,COORDINATA GEOGRAFICA X,COORDINATA GEOGRAFICA Y,POSIZIONE ATS,CODICE_ACC_DI_DIAGNOSI,DESCRIZIONE ACC DI DIAGNOSI,TASSO RICOVERI STESSA ATS,TASSO RICOVERI ALTRA ATS
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),128,ASMA,0.00,0.37
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),4,MICOSI,0.00,0.04
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),88,GLAUCOMA,0.00,0.11
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),39,LEUCEMIE,0.00,0.17
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),123,INFLUENZA,0.00,0.02
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),82,PARALISI,0.00,0.49
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),82,PARALISI,0.00,0.61
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),249,SHOCK,0.16,0.01
2019,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),223,TRAUMI OSTETRICI,0.00,0.00
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),155,ALTRI DISTURBI GASTROINTESTINALI,0.00,0.56
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),197,INFEZIONI DELLA CUTE E DEL TESSUTO SOTTOCUTANEO,0.00,0.65
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),84,"CEFALEA , INCLUSA L'EMICRANIA",0.00,0.12
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),33,TUMORI MALIGNI DEL RENE E DELLA PELVI RENALE,0.13,0.12
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),99,IPERTENSIONE CON COMPLICAZIONI E IPERTENSIONE SECONDARIA,0.09,0.01
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),104,ALTRE E MAL DEFINITE CARDIOPATIE,0.05,0.04
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),23,ALTRI TUMORI MALIGNI NON EPITELIALI DELLA CUTE,0.00,0.52
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),149,MALATTIE DELLE VIE BILIARI,1.94,0.54
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),47,ALTRI E NON SPECIFICATI TUMORI BENIGNI,0.00,2.25
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),169,ENDOMETRIOSI,0.22,0.01
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),184,MINACCIA O TRAVAGLIO DI PARTO PRECOCE,0.00,0.44
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),76,MENINGITI (ESCLUSE QUELLE CAUSATE DA TUBERCOLOSI O DA MALATTIE SESSUALMENTE TRASMESSE),0.02,0.01
2012,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),176,MISURE CONTRACCETTIVE E PROCREATIVE,0.00,0.10
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),127,MALATTIE POLMONARI CRONICHE OSTRUTTIVE E BRONCHIECTASIE,1.05,0.20
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),6,EPATITE,0.09,0.01
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),98,IPERTENSIONE ESSENZIALE,0.07,0.00
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),113,POSTUMI DELLE MALATTIE CEREBROVASCOLARI,0.00,0.96
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),653,"DELIRIUM, DEMENTIA, AMNESIA E ALTRI DISTURBI COGNITIVI",0.27,0.04
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),166,ALTRE PATOLOGIE DEGLI ORGANI GENITALI MASCHILI,0.00,0.58
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),198,ALTRE CONDIZIONI INFIAMMATORIE DELLA CUTE,0.05,0.02
2018,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),6,EPATITE,0.12,0.00
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),179,COMPLICAZIONI SUCCESSIVE AD ABORTO,0.00,0.02
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),51,ALTRI DISORDINI ENDOCRINI,0.00,0.14
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),6,EPATITE,0.00,0.10
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),658,DISTURBI DELLA PERSONALITA',0.00,0.26
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),196,GRAVIDANZA E/O PARTO NORMALE,0.00,3.78
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),231,ALTRE FRATTURE,0.00,1.08
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),80,SCLEROSI MULTIPLA,0.00,0.18
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),199,ULCERAZIONE CRONICA DELLA CUTE,0.10,0.03
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),92,OTITE MEDIA E CONDIZIONI CORRELATE,0.00,0.50
2016,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),121,ALTRE MALATTIE DELLE VENE E DEI VASI LINFATICI,0.27,0.07
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),26,TUMORI MALIGNI DELLA CERVICE UTERINA,0.00,0.20
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),46,TUMORI BENIGNI DELL'UTERO,0.47,0.19
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),238,COMPLICAZIONI DI INTERVENTI CHIRURGICI O DI CURE MEDICHE,0.00,1.46
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),116,EMBOLIA O TROMBOSI DELL'AORTA E DELLE ARTERIE PERIFERICHE,0.14,0.06
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),203,OSTEOARTROSI,0.00,2.31
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),251,DOLORE ADDOMINALE,0.18,0.02
2018,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),199,ULCERAZIONE CRONICA DELLA CUTE,0.10,0.01
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),59,ANEMIA DA CARENZA E ALTRE ANEMIE,0.00,0.66
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),94,ALTRI DISTURBI DELL'ORECCHIO E DELL'UDITO,0.17,0.06
2018,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),83,EPILESSIA E CONVULSIONI,0.40,0.10
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),27,TUMORI MALIGNI DELL'OVAIO,0.07,0.03
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),227,TRAUMATISMO DEL MIDOLLO SPINALE,0.00,0.03
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),29,TUMORI MALIGNI DELLA PROSTATA,0.00,1.02
2013,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),215,ANOMALIE CONGENITE DELL'APPARATO GENITOURINARIO,0.00,0.41
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),228,FRATTURE DEL CRANIO E DELLA FACCIA,0.22,0.08
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),223,TRAUMI OSTETRICI,0.00,0.01
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),255,ACCESSO PER MOTIVI AMMINISTRATIVI/SOCIALI,0.00,0.05
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),661,DISTURBI MENTALI DOVUTI AD ABUSO DI DROGHE,0.08,0.03
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),11,TUMORI MALIGNI DI TESTA E COLLO,0.00,0.38
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),257,ALTRO TRATTAMENTO ULTERIORE,0.25,0.32
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),209,ALTRE DEFORMAZIONI ACQUISITE,0.00,0.26
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),58,"ALTRI DISORDINI ENDOCRINI, METABOLICI E NUTRIZIONALI",0.08,0.42
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),230,FRATTURE DEGLI ARTI INFERIORI,0.87,0.34
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),190,SOFFERENZA FETALE E ANOMALIE DELLE CONTRAZIONI UTERINE IN TRAVAGLIO,0.20,0.00
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),36,TUMORI MALIGNI DELLA GHIANDOLA TIROIDE,0.00,0.15
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),225,DISTURBI ARTICOLARI E LUSSAZIONI DA TRAUMA,0.00,0.88
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),166,ALTRE PATOLOGIE DEGLI ORGANI GENITALI MASCHILI,0.00,0.47
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),152,DISTURBI DEL PANCREAS (ESCLUSO DIABETE),0.25,0.04
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),183,"IPERTENSIONE COMPLICANTE LA GRAVIDANZA, IL PARTO E IL PUERPERIO",0.00,0.24
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),245,SINCOPE,0.00,0.78
2019,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),113,POSTUMI DELLE MALATTIE CEREBROVASCOLARI,0.57,0.14
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),83,EPILESSIA E CONVULSIONI,0.49,0.17
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),6,EPATITE,0.00,0.12
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),256,ESAME MEDICO/VALUTAZIONE,0.08,0.03
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),657,DISTURBI DELL'UMORE,0.00,0.65
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),7,INFEZIONI VIRALI,0.00,0.36
2018,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),193,TRAUMA DEL PERINEO E DELLA VULVA NEL CORSO DEL PARTO,1.35,0.01
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),174,INFERTILITA' FEMMINILE,0.00,2.03
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),133,ALTRE MALATTIE DELLE VIE RESPIRATORIE INFERIORI,0.00,0.43
2014,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),77,ENCEFALITI (ESCLUSE QUELLE CAUSATE DA TUBERCOLOSI O DA MALATTIE SESSUALMENTE TRASMESSE),0.00,0.06
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),248,GANGRENA,0.00,0.21
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),212,ALTRE MALATTIE DELLE OSSA E DEFORMAZIONI MUSCOLOSCHELETRICHE,0.09,0.11
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),35,TUMORI MALIGNI DELL'ENCEFALO E DEL SISTEMA NERVOSO,0.12,0.08
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),179,COMPLICAZIONI SUCCESSIVE AD ABORTO,0.00,0.02
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),213,ANOMALIE CONGENITE DEL CUORE E DEL SISTEMA CIRCOLATORIO,0.12,0.15
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),247,LINFADENITE,0.00,0.13
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),652,DEFICIT DELL'ATTENZIONE E DISTURBI DI IPERATTIVITA',0.00,0.02
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),127,MALATTIE POLMONARI CRONICHE OSTRUTTIVE E BRONCHIECTASIE,0.77,0.17
2019,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),59,ANEMIA DA CARENZA E ALTRE ANEMIE,0.87,0.02
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),117,ALTRE MALATTIE CIRCOLATORIE,0.00,0.33
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),259,"CODICI RESIDUI, NON CLASSIFICATI",1.13,0.11
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),213,ANOMALIE CONGENITE DEL CUORE E DEL SISTEMA CIRCOLATORIO,0.00,0.19
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),107,ARRESTO CARDIACO E FIBRILLAZIONE VENTRICOLARE,0.05,0.01
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),125,BRONCHITE ACUTA,0.75,0.06
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),238,COMPLICAZIONI DI INTERVENTI CHIRURGICI O DI CURE MEDICHE,0.80,0.70
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),149,MALATTIE DELLE VIE BILIARI,2.18,0.17
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),651,"ANSIA, DISTURBI SOMATOFORMI, DISSOCIATIVI E DELLA PERSONALITA'",0.00,0.17
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),253,REAZIONI ALLERGICHE,0.07,0.12
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),33,TUMORI MALIGNI DEL RENE E DELLA PELVI RENALE,0.00,0.25
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),225,DISTURBI ARTICOLARI E LUSSAZIONI DA TRAUMA,0.86,0.15
