ANNO,PROVINCIA,GENERE,COORDINATA X,COORDINATA Y,SPERANZA DI VITA ALLA NASCITA,TASSO MORTALITA' PER 1.000 ABITANTI,TASSO MORTALITA INFANTILE PER RESIDENZA PER 1.000 NATI VIVI,POSIZIONE
2012,REGIONE LOMBARDIA,M,,,79.9,9.844881092005494,2.3,
2014,ITALIA,ALL,,,82.6,9.843271347480815,2.78,
2015,ITALIA,M,,,80.1,10.866858575614595,2.68,
2013,MONZA E DELLA BRIANZA,ALL,9.258430902,45.5823624,83.3,8.190884853691678,1.69,"(45.5823624, 9.258430902)"
2016,VARESE,M,8.80650544,45.80041256,81.2,9.814008359838226,,"(45.80041256, 8.80650544)"
2014,PAVIA,F,9.14034225,45.18407925,84.5,11.004157543481444,1.37,"(45.18407925, 9.14034225)"
2015,LECCO,F,9.388156645,45.85028614,85.2,9.554254516719947,4.84,"(45.85028614, 9.388156645)"
2013,LECCO,F,9.388156645,45.85028614,85.1,8.940510526536707,3.43,"(45.85028614, 9.388156645)"
2012,BRESCIA,M,10.18167955,45.51939749,79.7,9.20773893054169,3.13,"(45.51939749, 10.18167955)"
2015,MONZA E DELLA BRIANZA,ALL,9.258430902,45.5823624,83.3,9.037155769016307,2.16,"(45.5823624, 9.258430902)"
2016,ITALIA,ALL,,,82.8,10.148216903161664,,
2013,SONDRIO,M,9.879429303,46.1707552,78.9,9.578853335916396,1.42,"(46.1707552, 9.879429303)"
2013,LODI,M,9.510140481,45.31535435,79.4,9.274319133474062,2.02,"(45.31535435, 9.510140481)"
2016,PAVIA,F,9.14034225,45.18407925,84.4,11.507561924457697,,"(45.18407925, 9.14034225)"
2014,LODI,F,9.510140481,45.31535435,84.6,8.82149752891786,0.97,"(45.31535435, 9.510140481)"
2014,VARESE,M,8.80650544,45.80041256,81.1,9.415827035874454,2.76,"(45.80041256, 8.80650544)"
2014,PAVIA,ALL,9.14034225,45.18407925,82,11.62939087441935,1.68,"(45.18407925, 9.14034225)"
2013,VARESE,ALL,8.80650544,45.80041256,82.7,9.48011764592565,1.9,"(45.80041256, 8.80650544)"
2014,COMO,M,9.039360974,45.80216962,80.9,9.16364206585408,3.23,"(45.80216962, 9.039360974)"
2013,VARESE,M,8.80650544,45.80041256,80.3,9.61127534993149,2.57,"(45.80041256, 8.80650544)"
2015,SONDRIO,F,9.879429303,46.1707552,85.3,10.254911000416044,4.16,"(46.1707552, 9.879429303)"
2014,CREMONA,M,10.0131151,45.13644491,79.8,11.181329402072583,5.66,"(45.13644491, 10.0131151)"
2012,BERGAMO,F,9.63853045,45.68012929,84.5,8.381804761882657,3.73,"(45.68012929, 9.63853045)"
2014,ITALIA,F,,,85,9.805012884888207,3,
2016,COMO,F,9.039360974,45.80216962,85.6,9.346987767193605,,"(45.80216962, 9.039360974)"
2014,CREMONA,ALL,10.0131151,45.13644491,82.2,10.732973080520786,5.13,"(45.13644491, 10.0131151)"
2012,LECCO,F,9.388156645,45.85028614,85.5,8.774368209231215,1.27,"(45.85028614, 9.388156645)"
2014,MILANO,ALL,9.18951,45.46427,83.7,8.77043090347489,2.44,"(45.46427, 9.18951)"
2016,LODI,ALL,9.510140481,45.31535435,82.6,9.403794215162472,,"(45.31535435, 9.510140481)"
2012,PAVIA,F,9.14034225,45.18407925,83.9,11.87409760323419,1.76,"(45.18407925, 9.14034225)"
2013,BERGAMO,M,9.63853045,45.68012929,80.1,8.845508342554895,2.05,"(45.68012929, 9.63853045)"
2015,COMO,M,9.039360974,45.80216962,80.8,10.370019672345254,1.64,"(45.80216962, 9.039360974)"
2015,VARESE,M,8.80650544,45.80041256,80.8,10.648239739510522,1.4,"(45.80041256, 8.80650544)"
2016,LODI,F,9.510140481,45.31535435,84.8,9.059671620113711,,"(45.31535435, 9.510140481)"
2016,CREMONA,M,10.0131151,45.13644491,79.7,11.917033449503958,,"(45.13644491, 10.0131151)"
2013,BERGAMO,F,9.63853045,45.68012929,84.5,8.03985771398454,3.29,"(45.68012929, 9.63853045)"
2012,PAVIA,M,9.14034225,45.18407925,78.8,12.742337414647752,0.88,"(45.18407925, 9.14034225)"
2012,MONZA E DELLA BRIANZA,ALL,9.258430902,45.5823624,83.1,8.44094942644831,1.72,"(45.5823624, 9.258430902)"
2013,PAVIA,F,9.14034225,45.18407925,84,11.345347989797158,4.43,"(45.18407925, 9.14034225)"
2012,BERGAMO,M,9.63853045,45.68012929,79.7,9.060956265168405,2.64,"(45.68012929, 9.63853045)"
2016,COMO,M,9.039360974,45.80216962,81.1,9.662214341808587,,"(45.80216962, 9.039360974)"
2014,SONDRIO,M,9.879429303,46.1707552,78.7,10.1014980489402,1.4,"(46.1707552, 9.879429303)"
2014,VARESE,ALL,8.80650544,45.80041256,83.4,9.210276955018779,2.78,"(45.80041256, 8.80650544)"
2016,BERGAMO,ALL,9.63853045,45.68012929,83,8.67628303815067,,"(45.68012929, 9.63853045)"
2015,CREMONA,ALL,10.0131151,45.13644491,82,11.589160921482327,4.73,"(45.13644491, 10.0131151)"
2016,MANTOVA,M,10.77086348,45.14135331,80.9,11.074465331747197,,"(45.14135331, 10.77086348)"
2012,LODI,M,9.510140481,45.31535435,78.7,9.982168455648404,3.92,"(45.31535435, 9.510140481)"
2013,ITALIA,F,,,84.6,9.948031629953533,3.37,
2014,MONZA E DELLA BRIANZA,F,9.258430902,45.5823624,85.6,8.29737017160524,3.33,"(45.5823624, 9.258430902)"
