ATS,COD_ENTE,DENOM_ENTE,COD_STRUTTURA,COD_SUB,DENOM_STRUTTURA,COD_TIPO_STR,DESCR_TIPO_STR,DATA_APERTURA,DATA_CHIUSURA,INDIRIZZO,CAP,LOCALITA,TELEFONO,FAX,LIV_EMERG,PS_PEDIATRICO
325,720,ASST DI BERGAMO EST,030140,00,OSPEDALE BOLOGNINI - SERIATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,"VIA PADERNO, 21",24068,SERIATE,035 3063111,0353063220,DEA-PS,
321,708,ASST MELEGNANO E DELLA MARTESANA,030085,02,OSPEDALE CROTTA OLTROCCHI-VAPRIO D'ADDA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015 12:00:00 AM,,VIA DON MOLETTA 22,20069,VAPRIO D'ADDA,02909351,0290935493,PPI,
325,325,ATS DI BERGAMO,030360,00,FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA,51,CASA DI CURA ACCREDITATA A CONTRATTO,05/01/2005 12:00:00 AM,,"VIA MANZONI, 130",24025,GAZZANIGA,035 306511,,Senza livello emergenza,
322,711,ASST DELLA VALLE OLONA,030008,00,OSP. GENERALE PROVINCIALE - SARONNO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,PIAZZALE BORELLA 1,21047,SARONNO,02  96.131,,DEA-PS,X
325,720,ASST DI BERGAMO EST,030382,00,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2009 12:00:00 AM,,"VIA GROPPINI,22",24020,PIARIO,0353066211,0353066251,PS,
325,720,ASST DI BERGAMO EST,030137,00,OSP.LE SS.CAPITANIO E GEROSA - LOVERE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988 12:00:00 AM,,"VIA MARTINOLI, 9A",24065,LOVERE,0353067111,0353067262,PS,
326,723,ASST DEL GARDA,030723,00,ASST DEL GARDA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,LOCALIT¿ MONTECROCE,25015,DESENZANO DEL GARDA,03091451,,Senza livello emergenza,
321,708,ASST MELEGNANO E DELLA MARTESANA,030708,00,ASST MELEGNANO E DELLA MARTESANA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA PANDINA N. 1,20070,VIZZOLO PREDABISSI,0298051,,Senza livello emergenza,
321,703,ASST FATEBENEFRATELLI SACCO,030703,00,ASST FATEBENEFRATELLI SACCO,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA G.B. GRASSI N. 74,20157,MILANO,0239041,,Senza livello emergenza,
324,931,IST.SCIENT. E. MEDEA - BOSISIO PARINI,030931,00,ISTITUTO SCIENTIFICO MEDEA-BOSISIO P.,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA DON L. MONZA, 20",23842,BOSISIO PARINI,031 877111,,Senza livello emergenza,
321,709,ASST DI LODI,030709,00,ASST DI LODI,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA FISSIRAGA N. 15,26900,LODI,0371371,,Senza livello emergenza,
324,324,ATS DELLA BRIANZA,030109,00,CASA DI CURA VILLA BIANCA - LIMBIATE,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2009 12:00:00 AM,,VIA F.LLI BANDIERA 3,20812,LIMBIATE,02242091,0299656110,PPI,
327,726,ASST DI CREMA,030726,00,ASST DI CREMA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,LARGO UGO DOSSENA N. 2,26013,CREMA,03732801,,Senza livello emergenza,
321,702,ASST SANTI PAOLO E CARLO,030702,00,ASST SANTI PAOLO E CARLO,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA A. DI RUDIN¿ N. 8,20122,MILANO,0281841,,Senza livello emergenza,
325,720,ASST DI BERGAMO EST,030720,00,ASST DI BERGAMO EST,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA PADERNO N. 21,24068,SERIATE,0353063750,,Senza livello emergenza,
322,711,ASST DELLA VALLE OLONA,030711,00,ASST DELLA VALLE OLONA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA A. DA BRESCIA N. 1,20152,BUSTO ARSIZIO,0331381800,,Senza livello emergenza,
327,327,ATS DELLA VAL PADANA,030357,00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2005 12:00:00 AM,,"VIA GARIBALDI, 65",46043,CASTIGLIONE DELLE STIVIERE,0376635301,0376635229,PS,
325,325,ATS DI BERGAMO,030145,00,HUMANITAS CASTELLI,51,CASA DI CURA ACCREDITATA A CONTRATTO,11/01/1933 12:00:00 AM,,VIA GIUSEPPE MAZZINI 11,24128,BERGAMO,035 283111,035 247792,Senza livello emergenza,
321,707,ASST NORD MILANO,030707,00,ASST NORD MILANO,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIALE GIACOMO MATTEOTTI 83,20099,SESTO SAN GIOVANNI,0257991,,Senza livello emergenza,
321,702,ASST SANTI PAOLO E CARLO,030914,00,OSPEDALE S. PAOLO - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,"VIA A. DI RUDINI', 8",20142,MILANO,02  818441,0289120107,DEA-PS,X
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,00,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA PANDINA 1,20070,VIZZOLO PREDABISSI,02  98051,0298052501,DEA-PS,X
325,325,ATS DI BERGAMO,030147,00,POLICLINICO SAN MARCO - OSIO SOTTO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,CORSO EUROPA 7,24040,OSIO SOTTO,035 886111,035885789,PS,
323,323,ATS DELLA MONTAGNA,030031,00,OSP. MORIGGIA PELASCINI - GRAVEDONA,4,OSPEDALE CLASSIFICATO,02/01/1974 12:00:00 AM,,VIA PELASCINI 3,22015,GRAVEDONA ED UNITI,034492111,034485896,DEA-PS,X
325,325,ATS DI BERGAMO,030354,00,NEPHROCARE S.P.A. - SERIATE,51,CASA DI CURA ACCREDITATA A CONTRATTO,07/01/2004 12:00:00 AM,,"VIA PADERNO, 21",24068,SERIATE,035 3063525,035 3063375,Senza livello emergenza,
321,708,ASST MELEGNANO E DELLA MARTESANA,030071,01,OSPEDALE S. MARIA DELLE STELLE MELZO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015 12:00:00 AM,,"VIA VOLONTARI DEL SANGUE, 5",20066,MELZO,02951221,0295122319,PS,X
325,325,ATS DI BERGAMO,030350,00,OSPEDALE S.ISIDORO - TRESCORE B.,51,CASA DI CURA ACCREDITATA A CONTRATTO,06/01/2003 12:00:00 AM,,"VIA OSPEDALE, 34",24069,TRESCORE BALNEARIO,035 955111,,Senza livello emergenza,
325,720,ASST DI BERGAMO EST,030133,00,OSPEDALE PESENTI FENAROLI - ALZANO L.,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,"VIA MAZZINI, 88",24022,ALZANO LOMBARDO,035 3064111,0353064217,PS,
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,01,OSPEDALE DI  VIZZOLO PREDABISSI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015 12:00:00 AM,,VIA PANDINA 1,20070,VIZZOLO PREDABISSI,0298051,0298052501,DEA-PS,X
321,708,ASST MELEGNANO E DELLA MARTESANA,030071,00,OSPEDALE S. MARIA DELLE STELLE MELZO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,"VIA VOLONTARI DEL SANGUE, 5",20066,MELZO,02  951221,0295122319,PS,X
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030359,00,FONDAZIONE EUROPEA DI RICERCA BIOMEDICA-CERNUSCO S/NAVIGLIO,51,CASA DI CURA ACCREDITATA A CONTRATTO,12/01/2005 12:00:00 AM,,"VIA UBOLDO, 19",20063,CERNUSCO SUL NAVIGLIO,02  92418444,0292418441,Senza livello emergenza,
327,327,ATS DELLA VAL PADANA,030353,00,OSPEDALE CIVILE DI VOLTA MANTOVANA,51,CASA DI CURA ACCREDITATA A CONTRATTO,06/01/2004 12:00:00 AM,,"VIA TONELLO, 5",46049,VOLTA MANTOVANA,037683901,037683921,Senza livello emergenza,
325,325,ATS DI BERGAMO,030146,00,CASA DI CURA S. FRANCESCO - BERGAMO,51,CASA DI CURA ACCREDITATA A CONTRATTO,10/01/1956 12:00:00 AM,,VIA IV NOVEMBRE  7,24128,BERGAMO,035 2811111,035 225162,Senza livello emergenza,
321,950,SAN RAFFAELE TURRO,030950,00,SAN RAFFAELE TURRO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/2015 12:00:00 AM,,"VIA STAMIRA,20",20127,MILANO,0226433244,0226433375,Senza livello emergenza,
324,715,ASST DI LECCO,030715,00,ASST DI LECCO,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA DELL'EREMO N. 9/11,23900,LECCO,0341489111,,Senza livello emergenza,
325,720,ASST DI BERGAMO EST,030136,00,OSPEDALE BRIOLINI - GAZZANIGA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,"VIA MANZONI, 130",24025,GAZZANIGA,035 3065111,0353065286,Senza livello emergenza,
322,322,ATS DELL'INSUBRIA,030347,00,CASA DI CURA VILLA S. GIUSEPPE-ANZANO DEL PARCO,51,CASA DI CURA ACCREDITATA A CONTRATTO,09/01/2002 12:00:00 AM,,"VIA VILLA S.GIUSEPPE, 1",22040,ANZANO DEL PARCO,031 6340515,0316340599,Senza livello emergenza,
326,326,ATS DI BRESCIA,030369,00,CENTRO MEDICO RICHIEDEI-PALAZZOLO S/O,51,CASA DI CURA ACCREDITATA A CONTRATTO,09/01/2006 12:00:00 AM,,"VIA SGRAZZUTTI, 1",25064,PALAZZOLO SULL'OGLIO,03073031,0307303301,Senza livello emergenza,
322,711,ASST DELLA VALLE OLONA,030004,00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,"VIA ARNALDO DA BRESCIA,1",21052,BUSTO ARSIZIO,0331381800,0331699411,DEA-PS,
324,717,ASST DELLA BRIANZA,030717,00,ASST DI VIMERCATE,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA SANTI COSMA E DAMIANO N. 10,20871,VIMERCATE,0396654384,,Senza livello emergenza,
